종목코드,종목명,시장,ROE(%),예상ROE(%),현재가,적정주가(S-RIM),보수적주가(S-RIM),예상적정주가(S-RIM),예상보수적주가(S-RIM),정렬기준(%)
060850,영림원소프트랩,KOSDAQ,12.62,0.0,6210,8020,7260,0,0,29.15
307280,원바이오젠,KOSDAQ,16.55,0.0,7750,9970,7970,0,0,28.65
419530,SAMG엔터,KOSDAQ,54.69,22.69,35950,45350,25490,18820,13310,26.15
069620,대웅제약,KOSPI,21.75,15.78,145200,182690,131160,132540,108140,25.82
039010,현대에이치티,KOSDAQ,10.29,0.0,10860,13590,13670,0,0,25.14
123330,제닉,KOSDAQ,59.77,0.0,24150,30080,16640,0,0,24.55
139670,키네마스터,KOSDAQ,14.44,0.0,2040,2500,2120,0,0,22.55
178780,일월지엠엘,KOSDAQ,14.03,0.0,2480,3030,2610,0,0,22.18
030200,KT,KOSPI,10.22,8.35,59300,72190,72920,58980,66850,21.74
138040,메리츠금융지주,KOSPI,22.53,20.01,112400,136640,96870,121350,89860,21.57
214180,헥토이노베이션,KOSDAQ,14.22,18.85,19970,24130,20630,31990,24240,20.83
243070,휴온스,KOSDAQ,11.85,0.0,30250,36530,34130,0,0,20.76
136410,아셈스,KOSDAQ,12.97,0.0,7130,8520,7610,0,0,19.5
317450,명인제약,KOSPI,12.28,0.0,53800,64190,58900,0,0,19.31
000270,기아,KOSPI,12.92,12.55,164500,195390,174860,189800,172290,18.78
038390,레드캡투어,KOSDAQ,11.36,0.0,11120,13140,12540,0,0,18.17
353810,이지바이오,KOSDAQ,29.06,0.0,7660,9050,5910,0,0,18.15
271980,제일약품,KOSPI,11.71,0.0,13720,16150,15180,0,0,17.71
136480,하림,KOSDAQ,12.56,0.0,3170,3700,3350,0,0,16.72
053580,웹케시,KOSDAQ,11.65,0.0,8590,9900,9330,0,0,15.25
099410,동방선기,KOSDAQ,17.34,0.0,5220,5950,4660,0,0,13.98
036120,서울평가정보,KOSDAQ,23.39,0.0,1892,2140,1500,0,0,13.11
086670,비엠티,KOSDAQ,13.96,0.0,17850,20180,17410,0,0,13.05
192080,더블유게임즈,KOSPI,11.33,12.27,58700,66340,63420,71840,65950,13.02
009410,태영건설,KOSPI,11.28,0.0,1961,2210,2120,0,0,12.7
000810,삼성화재,KOSPI,10.96,9.42,499000,561940,546680,482980,510440,12.61
002800,신신제약,KOSDAQ,13.21,0.0,5570,6260,5540,0,0,12.39
472850,폰드그룹,KOSDAQ,15.46,0.0,5400,6050,4980,0,0,12.04
462870,시프트업,KOSPI,22.71,0.0,31150,34890,24670,0,0,12.01
053300,한국정보인증,KOSDAQ,13.36,0.0,6250,6890,6060,0,0,10.24
007340,DN오토모티브,KOSPI,15.02,15.4,51100,55950,46660,57370,47310,9.49
067730,로지시스,KOSDAQ,16.63,0.0,3175,3470,2770,0,0,9.29
439260,대한조선,KOSPI,32.19,19.35,82600,89720,56880,53930,40450,8.62
268280,미원에스씨,KOSPI,14.34,0.0,119400,128330,109300,0,0,7.48
094280,효성ITX,KOSPI,21.21,0.0,12920,13860,10040,0,0,7.28
950140,잉글우드랩,KOSDAQ,16.09,0.0,11960,12810,10360,0,0,7.11
018290,브이티,KOSDAQ,25.66,0.0,16170,17250,11700,0,0,6.68
030000,제일기획,KOSPI,13.7,13.92,19190,20430,17780,20760,17930,6.46
051370,인터플렉스,KOSDAQ,11.11,12.58,13340,14200,13720,16080,14580,6.45
259630,엠플러스,KOSDAQ,22.12,0.0,17150,18210,13000,0,0,6.18
081660,미스토홀딩스,KOSPI,11.39,11.89,38100,40150,38280,41910,39090,5.38
059210,메타바이오메드,KOSDAQ,10.1,0.0,4230,4440,4510,0,0,4.96
264450,유비쿼스,KOSDAQ,12.92,0.0,15970,16570,14830,0,0,3.76
054950,제이브이엠,KOSDAQ,13.0,13.5,24500,25320,22590,26290,23040,3.35
021240,코웨이,KOSPI,18.14,17.33,87600,89790,69090,85780,67250,2.5
408920,메쎄이상,KOSDAQ,20.79,0.0,3685,3750,2740,0,0,1.76
018120,진로발효,KOSDAQ,13.65,0.0,17920,18150,15820,0,0,1.28
206650,유바이오로직스,KOSDAQ,26.85,0.0,12270,12380,8280,0,0,0.9
134380,미원화학,KOSPI,14.72,0.0,12590,12660,10660,0,0,0.56
179290,엠아이텍,KOSDAQ,17.32,0.0,6460,6470,5080,0,0,0.15
005850,에스엘,KOSPI,12.81,14.38,68300,68200,61290,76560,65120,-0.15
403850,더핑크퐁컴퍼니,KOSDAQ,13.08,0.0,16160,16130,14350,0,0,-0.19
330730,스톤브릿지벤처스,KOSDAQ,12.36,0.0,6390,6360,5820,0,0,-0.47
462980,아이지넷,KOSDAQ,18.38,0.0,2155,2140,1640,0,0,-0.7
352090,스톰테크,KOSDAQ,11.13,0.0,3780,3730,3600,0,0,-1.32
039490,키움증권,KOSPI,18.12,16.29,452500,444940,342520,400000,321890,-1.67
204610,티쓰리,KOSDAQ,17.72,19.04,3300,3240,2520,3480,2630,-1.82
143540,영우디에스피,KOSDAQ,19.84,0.0,1365,1340,990,0,0,-1.83
297570,알로이스,KOSDAQ,11.45,0.0,1539,1500,1430,0,0,-2.53
464280,티디에스팜,KOSDAQ,10.52,0.0,8430,8180,8130,0,0,-2.97
013030,하이록코리아,KOSDAQ,11.35,11.26,43500,42100,40210,41770,40060,-3.22
049720,고려신용정보,KOSDAQ,22.89,0.0,10030,9690,6830,0,0,-3.39
381970,케이카,KOSPI,22.63,0.0,10330,9970,7060,0,0,-3.48
086280,현대글로비스,KOSPI,18.13,14.35,251000,240370,185000,190250,161990,-4.24
272110,케이엔제이,KOSDAQ,30.79,0.0,38250,36520,23450,0,0,-4.52
003780,진양산업,KOSPI,10.57,0.0,5500,5240,5200,0,0,-4.73
240550,동방메디컬,KOSDAQ,11.54,0.0,6840,6510,6160,0,0,-4.82
244920,에이플러스에셋,KOSPI,13.82,0.0,10500,9970,8630,0,0,-5.05
264660,씨앤지하이테크,KOSDAQ,14.81,0.0,22800,21630,18150,0,0,-5.13
206640,바디텍메드,KOSDAQ,10.71,0.0,11560,10960,10800,0,0,-5.19
068930,디지털대성,KOSDAQ,15.41,18.82,8440,8000,6600,9780,7410,-5.21
052400,코나아이,KOSDAQ,32.62,30.71,59500,56390,35620,53080,34100,-5.23
025770,한국정보통신,KOSDAQ,11.4,0.0,11220,10460,9970,0,0,-6.77
459550,알트,KOSDAQ,13.12,0.0,2650,2470,2190,0,0,-6.79
031330,에스에이엠티,KOSDAQ,16.55,0.0,8560,7920,6330,0,0,-7.48
337930,젝시믹스,KOSDAQ,10.37,0.0,4220,3900,3910,0,0,-7.58
053800,안랩,KOSDAQ,14.68,0.0,63700,58600,49380,0,0,-8.01
236200,슈프리마,KOSDAQ,12.75,14.22,52100,47850,43100,53360,45630,-8.16
373160,데이원컴퍼니,KOSDAQ,13.74,0.0,4790,4390,3820,0,0,-8.35
309960,LB인베스트먼트,KOSDAQ,10.11,0.0,5870,5360,5450,0,0,-8.69
290560,파라택시스이더리움,KOSDAQ,13.71,0.0,1720,1570,1370,0,0,-8.72
190510,나무가,KOSDAQ,14.83,0.0,19070,17370,14570,0,0,-8.91
001060,JW중외제약,KOSPI,17.6,0.0,30450,27700,21580,0,0,-9.03
032850,비트컴퓨터,KOSDAQ,10.24,0.0,5300,4800,4840,0,0,-9.43
030190,NICE평가정보,KOSPI,17.62,0.0,14910,13450,10480,0,0,-9.79
092730,네오팜,KOSDAQ,14.95,0.0,20150,17940,14990,0,0,-10.97
204620,글로벌텍스프리,KOSDAQ,27.81,0.0,6000,5320,3520,0,0,-11.33
035900,JYP Ent.,KOSDAQ,29.21,16.21,59900,52560,34260,29170,23520,-12.25
128660,피제이메탈,KOSDAQ,10.63,0.0,3520,3040,3000,0,0,-13.64
310200,애니플러스,KOSDAQ,10.39,0.0,2655,2290,2290,0,0,-13.75
009450,경동나비엔,KOSPI,12.24,15.33,73000,62680,57610,78510,64880,-14.14
340570,티앤엘,KOSDAQ,20.44,20.06,58400,49280,36200,48360,35780,-15.62
065710,서호전기,KOSDAQ,24.38,0.0,45400,38110,26290,0,0,-16.06
