종목코드,종목명,시장,ROE(%),자본총계(원),총주식수,적정주가(S-RIM),보수적주가(S-RIM)
241520,DSC인베스트먼트,KOSDAQ,14.58,125800000000.0,25800969,6840,5770
007980,TP,KOSPI,14.54,284600000000.0,45063280,8830,7470
128940,한미약품,KOSPI,14.53,1249800000000.0,12689111,137610,116440
114810,한솔아이원스,KOSDAQ,14.49,210300000000.0,27351367,10710,9080
139670,키네마스터,KOSDAQ,14.44,25400000000.0,14118810,2500,2120
254490,미래반도체,KOSDAQ,14.41,110200000000.0,14438000,10580,8980
059100,아이컴포넌트,KOSDAQ,14.37,44300000000.0,6459240,9480,8060
004800,효성,KOSPI,14.35,2443600000000.0,16717604,201690,171640
014680,한솔케미칼,KOSPI,14.34,1080500000000.0,10902899,136650,116330
268280,미원에스씨,KOSPI,14.34,448500000000.0,4814431,128450,109350
214180,헥토이노베이션,KOSDAQ,14.22,222300000000.0,12583567,24150,20640
045390,대아티아이,KOSDAQ,14.2,154300000000.0,70473377,2990,2560
052690,한전기술,KOSPI,14.2,625000000000.0,38043505,22430,19180
033640,네패스,KOSDAQ,14.19,123600000000.0,23059202,7310,6260
003480,한진중공업홀딩스,KOSPI,14.18,444700000000.0,26089504,23240,19890
479960,위너스일렉,KOSDAQ,14.15,40700000000.0,6851000,8080,6920
388050,지투파워,KOSDAQ,14.09,42100000000.0,18709437,3050,2620
023760,한국캐피탈,KOSDAQ,14.08,754100000000.0,312890575,3260,2800
176750,듀켐바이오,KOSDAQ,14.05,49200000000.0,28344712,2340,2020
033530,SJG세종,KOSPI,14.05,522400000000.0,27052299,26090,22420
047400,유니온머티리얼,KOSPI,14.04,19600000000.0,42000000,630,540
452280,한선엔지니어링,KOSDAQ,14.04,68300000000.0,19246420,4790,4120
178780,일월지엠엘,KOSDAQ,14.03,41900000000.0,18636980,3030,2610
052860,아이앤씨,KOSDAQ,14.03,35300000000.0,16490109,2890,2480
005710,대원산업,KOSDAQ,14.01,584500000000.0,20037600,39300,33820
000950,전방,KOSPI,13.99,227500000000.0,1139470,268570,231280
009320,아진전자부품,KOSPI,13.98,33300000000.0,49299770,910,780
069730,DSR제강,KOSPI,13.97,188000000000.0,14400000,17540,15110
086670,비엠티,KOSDAQ,13.96,149400000000.0,9925885,20200,17420
147830,제룡산업,KOSDAQ,13.94,86200000000.0,19151979,6030,5200
011560,세보엠이씨,KOSDAQ,13.86,271200000000.0,9819744,36810,31830
244920,에이플러스에셋,KOSPI,13.82,169700000000.0,22607693,9970,8640
092460,한라IMS,KOSDAQ,13.76,198700000000.0,17109680,15370,13330
028050,삼성E&A,KOSPI,13.76,4740700000000.0,196000000,32000,27770
010140,삼성중공업,KOSPI,13.74,4148900000000.0,854035571,6420,5570
373160,데이원컴퍼니,KOSDAQ,13.74,45400000000.0,13644442,4400,3820
290560,파라택시스이더리움,KOSDAQ,13.71,26300000000.0,21993795,1580,1370
030000,제일기획,KOSPI,13.7,1572300000000.0,101278725,20450,17780
025880,케이씨피드,KOSDAQ,13.67,80100000000.0,15785136,6670,5810
018120,진로발효,KOSDAQ,13.65,91600000000.0,6617764,18170,15830
083930,아바코,KOSDAQ,13.62,221800000000.0,13777247,21080,18390
097520,엠씨넥스,KOSPI,13.61,385500000000.0,16201072,31140,27160
249420,일동제약,KOSPI,13.59,246400000000.0,31508117,10220,8920
234080,JW생명과학,KOSPI,13.59,220600000000.0,15484554,18620,16250
272290,이녹스첨단소재,KOSDAQ,13.55,393300000000.0,18831242,27210,23790
294570,쿠콘,KOSDAQ,13.54,170500000000.0,10069761,22040,19280
064760,티씨케이,KOSDAQ,13.5,519300000000.0,11179416,60300,52800
110990,디아이티,KOSDAQ,13.5,237200000000.0,18633328,16520,14470
094820,일진파워,KOSDAQ,13.41,145000000000.0,15078709,12400,10890
039830,오로라,KOSDAQ,13.37,175600000000.0,9709731,23250,20450
053300,한국정보인증,KOSDAQ,13.36,204000000000.0,38033211,6890,6060
035150,백산,KOSPI,13.22,258600000000.0,20028841,16410,14520
002800,신신제약,KOSDAQ,13.21,74800000000.0,15170500,6260,5540
066620,국보디자인,KOSDAQ,13.15,323900000000.0,6766661,60520,53670
008930,한미사이언스,KOSPI,13.13,961900000000.0,67751141,17920,15910
459550,알트,KOSDAQ,13.12,48300000000.0,24656533,2470,2190
001560,제일연마,KOSPI,13.12,108700000000.0,6640000,20650,18330
115500,케이씨에스,KOSDAQ,13.11,19700000000.0,12000000,2070,1840
016360,삼성증권,KOSPI,13.09,8068100000000.0,89300000,113720,101070
403850,더핑크퐁컴퍼니,KOSDAQ,13.08,184100000000.0,14351010,16130,14350
054040,한국컴퓨터,KOSDAQ,13.04,164500000000.0,13197682,15630,13920
001620,케이비아이동국실업,KOSPI,13.01,263300000000.0,22258606,14800,13190
054950,제이브이엠,KOSDAQ,13.0,233900000000.0,11536989,25340,22600
