종목코드,종목명,시장,ROE(%),자본총계(원),총주식수,예상ROE(%),적정주가(S-RIM),보수적주가(S-RIM),예상적정주가(S-RIM),예상보수적주가(S-RIM),할인율(%)
194370,제이에스코퍼레이션,KOSPI,15.29,527400000000.0,29016758,16.53,26700,22090,28860,23080,10.41
064850,에프앤가이드,KOSDAQ,15.15,68900000000.0,11410332,25.05,8790,7300,14530,9940,10.41
096240,크레버스,KOSDAQ,15.15,47000000000.0,8435607,0.0,8110,6740,0,0,10.41
017510,세명전기,KOSDAQ,15.13,90100000000.0,15246000,0.0,8590,7140,0,0,10.41
445180,퓨릿,KOSDAQ,15.1,107500000000.0,17189188,0.0,9070,7550,0,0,10.41
327260,RF머트리얼즈,KOSDAQ,15.05,52800000000.0,8493704,25.31,8990,7490,15110,10300,10.41
290120,DH오토리드,KOSDAQ,15.03,99300000000.0,15824249,0.0,9060,7550,0,0,10.41
007340,DN오토모티브,KOSPI,15.02,2007300000000.0,51762270,15.4,55950,46660,57370,47310,10.41
033250,체시스,KOSPI,15.0,45400000000.0,6400000,0.0,10220,8530,0,0,10.41
458350,에스팀,KOSDAQ,14.99,15400000000.0,8683200,0.0,2550,2130,0,0,10.41
194700,노바렉스,KOSDAQ,14.99,253100000000.0,17754848,0.0,20530,17130,0,0,10.41
080470,성창오토텍,KOSDAQ,14.99,60400000000.0,7300000,0.0,11910,9940,0,0,10.41
016670,디모아,KOSDAQ,14.99,86100000000.0,10187750,0.0,12170,10160,0,0,10.41
092730,네오팜,KOSDAQ,14.95,195400000000.0,15641256,0.0,17940,14990,0,0,10.41
039420,케이엘넷,KOSDAQ,14.85,66000000000.0,20246557,0.0,4650,3900,0,0,10.41
071320,지역난방공사,KOSPI,14.84,2301400000000.0,11578744,0.0,283340,237590,0,0,10.41
190510,나무가,KOSDAQ,14.83,171700000000.0,14085317,0.0,17370,14570,0,0,10.41
264660,씨앤지하이테크,KOSDAQ,14.81,143200000000.0,9419458,0.0,21630,18150,0,0,10.41
448710,코츠테크놀로지,KOSDAQ,14.8,53800000000.0,4557542,0.0,16780,14090,0,0,10.41
032190,다우데이타,KOSDAQ,14.76,1610400000000.0,38300000,0.0,59620,50110,0,0,10.41
030720,동원수산,KOSPI,14.73,56400000000.0,4653805,0.0,17150,14430,0,0,10.41
134380,미원화학,KOSPI,14.72,173600000000.0,19387530,0.0,12660,10660,0,0,10.41
161890,한국콜마,KOSPI,14.69,910400000000.0,23605077,16.33,54420,45850,60500,48640,10.41
482630,삼양엔씨켐,KOSDAQ,14.69,119300000000.0,21888280,0.0,7690,6480,0,0,10.41
053800,안랩,KOSDAQ,14.68,373500000000.0,8988347,0.0,58600,49380,0,0,10.41
010120,LS ELECTRIC,KOSPI,14.67,2069800000000.0,148785350,26.57,19600,16520,35510,23820,10.41
